col_0,Partner,col_2,HS Code,Product,Year,UOM,April_Value,April_Qty,May_Value,May_Qty,June_Value,June_Qty,July_Value,July_Qty,August_Value,August_Qty,September_Value,September_Qty,October_Value,October_Qty,November_Value,November_Qty,December_Value,December_Qty,January_Value,January_Qty,February_Value,February_Qty,March_Value,March_Qty,Total_Value,Total_Qty,Total_Period/Period %  Change (Value),Total_Reporter Code,Total_Partner Code,Total_Product Code,Total_col,source_file
6,Chile,2,0810500010,"KIWI FRUIT,ORG",2025-2025,KG,0,0.0,0,0.0,"1,058","404,175.0",369,"132,435.0",317,"137,520.0",90,"45,000.0",0,0.0,0,0.0,0,0.0,,,,,,,"1,833","719,130.0",,US,CI,0810500010,,Standard_Query_07568.csv
6,Chile,3,0810500090,"KIWI FRUIT,NES",2024-2024,KG,"5,597","2,205,673.0","14,145","5,683,605.0","7,051","2,824,107.0","4,997","1,896,811.0","5,089","2,092,306.0","7,416","2,920,993.0","3,063","1,157,190.0",133,"45,500.0",0,0.0,,,,,,,"47,490","18,826,185.0",,US,CI,0810500090,,Standard_Query_07568.csv
6,Chile,3,0810500090,"KIWI FRUIT,NES",2025-2025,KG,"5,841","2,393,700.0","8,120","3,612,695.0","4,624","2,406,217.0","4,370","1,893,345.0","8,623","3,595,060.0","5,501","2,424,877.0",643,"267,785.0",0,0.0,0,0.0,,,,,,,"37,722","16,593,679.0",,US,CI,0810500090,,Standard_Query_07568.csv
6,Chile,4,0810700000,"PERSIMMONS, FR",2023-2023,KG,127,"27,288.0",693,"198,042.0",330,"90,916.0",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,"1,151","316,246.0",,US,CI,0810700000,,Standard_Query_07568.csv
6,Chile,4,0810700000,"PERSIMMONS, FR",2024-2024,KG,113,"22,253.0",685,"214,284.0",736,"344,846.0",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,"1,534","581,383.0",,US,CI,0810700000,,Standard_Query_07568.csv
6,Chile,4,0810700000,"PERSIMMONS, FR",2025-2025,KG,210,"64,003.0",368,"203,826.0",514,"217,911.0",198,"77,105.0",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,"1,290","562,845.0",,US,CI,0810700000,,Standard_Query_07568.csv
6,Chile,5,0810904620,"CACTUS PEARS, FR",2024-2024,KG,0,0.0,0,0.0,0,0.0,0,0.0,18,"2,719.0",6,900.0,0,0.0,0,0.0,0,0.0,,,,,,,24,"3,619.0",,US,CI,0810904620,,Standard_Query_07568.csv
6,Chile,6,0810904630,"DRAGON FRUIT, FR",2025-2025,KG,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,32,"5,850.0",15,"2,776.0",,,,,,,46,"8,626.0",,US,CI,0810904630,,Standard_Query_07568.csv
6,Chile,7,0810904660,"POMEGRANATES, FR",2023-2023,KG,566,"282,819.0","1,848","1,239,875.0",813,"596,510.0",0,0.0,21,"16,800.0",0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,"3,248","2,136,004.0",,US,CI,0810904660,,Standard_Query_07568.csv
6,Chile,7,0810904660,"POMEGRANATES, FR",2024-2024,KG,782,"452,091.0",535,"345,732.0",34,"16,800.0",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,"1,351","814,623.0",,US,CI,0810904660,,Standard_Query_07568.csv
6,Chile,7,0810904660,"POMEGRANATES, FR",2025-2025,KG,"1,474","510,326.0","2,817","1,072,086.0",49,"34,933.0",0,0.0,0,0.0,0,0.0,6,"1,398.0",6,"1,398.0",0,0.0,,,,,,,"4,352","1,620,141.0",,US,CI,0810904660,,Standard_Query_07568.csv
6,Chile,8,0810904680,"FRUITS, FRS, NES",2023-2023,KG,119,"22,954.0",363,"85,100.0",528,"76,282.0",274,"48,328.0",442,"72,641.0",538,"80,222.0",722,"137,369.0",231,"37,971.0",17,"2,700.0",,,,,,,"3,235","563,567.0",,US,CI,0810904680,,Standard_Query_07568.csv
6,Chile,8,0810904680,"FRUITS, FRS, NES",2024-2024,KG,70,"12,970.0",311,"42,794.0",181,"20,859.0",201,"29,088.0",825,"119,289.0",838,"120,774.0","1,161","172,667.0",538,"75,669.0",31,"3,856.0",,,,,,,"4,156","597,966.0",,US,CI,0810904680,,Standard_Query_07568.csv
6,Chile,8,0810904680,"FRUITS, FRS, NES",2025-2025,KG,43,"8,634.0",343,"34,539.0",147,"25,250.0",152,"27,163.0",628,"134,142.0",732,"159,897.0",824,"183,852.0",555,"118,243.0",67,"13,050.0",,,,,,,"3,489","704,770.0",,US,CI,0810904680,,Standard_Query_07568.csv
